,time_seconds,time_seconds_delta,Timestamp,Data,X,Y,Z,Gmag,Gmag_norm,Q3 threshold,Std threshold,HO threshold
49,68148.66,0.08500000000640284,18:55:48:660,0000331796 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
50,68148.752,0.09199999998963904,18:55:48:752,0000331886 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
51,68148.844,0.09200000000419095,18:55:48:844,0000331976 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
52,68148.932,0.08800000000337604,18:55:48:932,0000332066 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
53,68149.02,0.08800000000337604,18:55:49:020,0000332156 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
54,68149.157,0.13700000000244472,18:55:49:157,0000332291 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
55,68149.244,0.08699999999953434,18:55:49:244,0000332381 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
56,68149.335,0.09100000000034925,18:55:49:335,0000332471 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
57,68149.424,0.08899999999266583,18:55:49:424,0000332561 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
58,68149.515,0.09100000000034925,18:55:49:515,0000332651 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
59,68149.604,0.08900000000721775,18:55:49:604,0000332741 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
60,68149.695,0.09100000000034925,18:55:49:695,0000332831 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
61,68149.786,0.09099999998579733,18:55:49:786,0000332957 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
