,Timestamp,Data,X,Y,Z
167,18:54:21:857,0000244992 [app] INFO: GYRO: ,3.959,5.661,-1.767
168,18:54:22:125,0000245082 [app] INFO: GYRO: ,3.959,5.661,-1.767
169,18:54:22:308,0000245352 [app] INFO: GYRO: ,3.959,5.661,-1.767
170,18:54:22:447,0000245532 [app] INFO: GYRO: ,3.959,5.661,-1.767
171,18:54:22:576,0000245667 [app] INFO: GYRO: ,3.959,5.661,-1.767
172,18:54:22:709,0000245802 [app] INFO: GYRO: ,3.959,5.661,-1.767
173,18:54:22:801,0000245937 [app] INFO: GYRO: ,3.959,5.661,-1.767
174,18:54:23:072,0000246027 [app] INFO: GYRO: ,3.959,5.661,-1.767
175,18:54:23:160,0000246297 [app] INFO: GYRO: ,3.959,5.661,-1.767
176,18:54:23:339,0000246387 [app] INFO: GYRO: ,3.959,5.661,-1.767
