Timestamp,Mode,Data,X,Y,Z
18:54:13:669,RX,0000236712 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:13:847,RX,0000236892 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:13:982,RX,0000237072 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:119,RX,0000237252 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:209,RX,0000237342 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:346,RX,0000237432 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:431,RX,0000237567 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:524,RX,0000237657 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:611,RX,0000237747 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:750,RX,0000237837 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:835,RX,0000237972 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:14:973,RX,0000238107 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:109,RX,0000238197 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:197,RX,0000238332 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:285,RX,0000238422 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:466,RX,0000238512 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:555,RX,0000238692 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:694,RX,0000238782 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:783,RX,0000238917 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:871,RX,0000239008 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:15:964,RX,0000239097 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:143,RX,0000239187 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:234,RX,0000239367 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:324,RX,0000239457 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:457,RX,0000239547 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:548,RX,0000239682 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:640,RX,0000239772 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:773,RX,0000239862 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:16:908,RX,0000239997 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:090,RX,0000240132 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:179,RX,0000240312 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:358,RX,0000240492 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:492,RX,0000240582 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:584,RX,0000240717 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:670,RX,0000240807 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:761,RX,0000240898 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:852,RX,0000240987 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:17:940,RX,0000241077 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:031,RX,0000241167 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:122,RX,0000241257 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:213,RX,0000241347 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:300,RX,0000241437 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:389,RX,0000241527 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:483,RX,0000241617 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:572,RX,0000241707 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:706,RX,0000241797 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:802,RX,0000241965 [app] INFO: GYRO: ,3.959,5.661,-1.767
