,Time,X,Y,Z,X_f,Y_f,Z_f
185,2937143,-160,-448,192,-16.206598,0.393241,-49.481636
186,2937241,-96,640,-288,-16.403343,2.216282,-50.364964
187,2937387,-320,256,256,-17.15126,2.946774,-49.229191
188,2937484,-480,640,288,-18.295586,4.784461,-47.976009
189,2937582,32,-256,-64,-18.170399,4.024819,-48.035736
190,2937679,608,288,0,-16.614153,4.8539,-47.857304
191,2937777,-128,64,-704,-16.893747,5.027053,-50.287903
192,2937874,-992,-64,-352,-19.340704,4.825326,-51.415989
193,2937972,-608,928,1504,-20.842867,7.51909,-45.587193
194,2938069,-992,-160,736,-23.343821,7.02273,-42.57877
195,2938215,-320,-128,-160,-24.120579,6.622506,-43.036015
196,2938362,-160,-128,160,-24.477533,6.223577,-42.246605
197,2938508,96,-224,128,-24.161013,5.541541,-41.584576
198,2938605,32,-224,-448,-24.013498,4.860422,-43.1642
199,2938703,96,32,-96,-23.698742,4.941082,-43.370419
200,2938800,32,-160,-448,-23.552696,4.452055,-44.94521
201,2938898,224,96,224,-22.904572,4.72357,-43.894146
203,2939239,832,288,1664,-21.938572,5.440173,-35.691368
204,2939337,288,288,640,-21.101549,6.281472,-32.909252
205,2939483,160,0,192,-20.610767,6.26272,-31.974588
206,2939580,-192,-576,96,-21.075647,4.529444,-31.442589
207,2939678,-288,-384,-64,-21.800169,3.362916,-31.577715
208,2939776,544,192,224,-20.260403,3.931963,-30.52066
209,2939873,416,-192,384,-19.063026,3.340472,-28.804598
210,2939971,320,-128,736,-18.126892,2.943622,-25.625425
211,2940068,0,-736,32,-18.076645,0.711776,-25.383244
212,2940166,800,-1344,-1312,-15.81442,-3.397115,-30.774044
213,2940263,-896,544,-608,-18.281284,-1.684881,-33.244183
214,2940361,544,-576,576,-16.682217,-3.495255,-30.618296
215,2940458,-384,864,160,-17.735546,-0.738091,-29.790318
216,2940556,-480,-192,640,-19.067039,-1.354533,-26.882576
