Time,X,Y,Z,X_f,Y_f,Z_f
3026589,32,192,-256,-5.629159,2.794449,23.077511
3026687,352,-352,224,-4.896701,2.244318,23.646936
3026784,-256,160,64,-5.413597,2.49028,23.761433
3026882,32,-256,96,-5.336354,2.086619,23.965984
3027028,-288,224,544,-5.919164,2.434407,25.436483
3027125,384,-128,0,-5.112337,2.229402,25.364016
3027223,768,-32,32,-3.50348,2.175548,25.382877
3027418,-5664,2816,3744,-15.439963,6.598672,35.923798
3027515,-6496,-6688,-6848,-30.617216,-4.498538,15.022789
3027613,-96,-1856,-14624,-30.78973,-7.972054,-35.369637
3027710,-3328,-3712,-4576,-39.477943,-15.164339,-55.486752
3027808,1920,992,-4032,-33.989609,-13.068176,-74.612053
3027905,416,448,-3072,-32.683632,-12.091322,-90.094322
3028003,768,544,-1792,-30.345791,-10.904817,-99.361351
3028100,736,-768,-1120,-28.079103,-12.534644,-105.075806
3028198,544,-800,-256,-26.366224,-14.251766,-105.933167
3028344,0,-160,672,-26.286617,-14.573873,-101.525703
3028490,-544,96,-160,-27.845835,-14.329332,-101.860222
3028588,-160,0,-288,-28.24675,-14.297643,-102.920273
3028685,-96,-128,256,-28.452211,-14.548617,-100.880302
3028783,-256,-288,352,-29.14109,-15.152243,-98.302582
3028880,-288,-256,736,-29.92594,-15.685621,-93.538216
3028978,-96,160,512,-30.126699,-15.295544,-90.042824
3029075,-160,-224,384,-30.520628,-15.759528,-87.289421
3029173,224,160,128,-29.748962,-15.368029,-86.034447
3029270,-96,352,96,-29.950233,-14.548682,-84.97496
3029368,160,128,512,-29.374149,-14.229136,-81.508018
3029465,160,-384,-416,-28.799379,-15.058537,-83.462296
3029563,352,0,-544,-27.642763,-15.024588,-86.155159
3029660,-128,0,-352,-27.948967,-14.990781,-87.714729
3029758,224,64,-384,-27.181042,-14.813389,-89.451874
3029856,32,-32,-384,-27.000307,-14.851959,-91.178879
3029953,-128,160,-96,-27.308178,-14.460295,-91.207146
3030050,800,288,-544,-24.788946,-13.781946,-93.846733
3030148,-64,-864,-224,-24.909948,-15.696006,-94.607864
3030245,32,96,-544,-24.734732,-15.440858,-97.227379
3030343,32,-192,-96,-24.560392,-15.844151,-97.2202
3030440,160,-320,-32,-23.99436,-16.539757,-96.841064
3030538,-352,96,96,-25.000942,-16.281406,-95.725082
3030635,-896,-224,-6816,-27.683111,-16.758228,-134.540268
3030800,-1088,-288,-224,-41.068439,-13.326247,-136.735001
3031025,192,32,-96,-40.283325,-13.218225,-136.471497
3031123,1888,288,-768,-33.779446,-12.501418,-140.533722
3031220,704,-448,-32,-31.204052,-13.541525,-139.831345
3031318,384,-288,320,-29.738489,-14.201138,-136.868317
3031415,-2368,6688,-2752,-38.030972,1.955795,-153.764587
3031513,-928,1248,-768,-41.322567,5.35298,-157.912506
3031610,448,64,320,-39.487476,5.516402,-154.667709
3031708,-544,128,-96,-41.390839,5.857156,-154.268311
3031805,96,256,32,-40.869263,6.552828,-153.007355
3031903,256,64,0,-39.743454,6.712946,-151.974716
3032000,32,-288,0,-39.470806,5.89286,-150.95282
3032098,-448,-320,-384,-41.019669,4.983212,-152.514084
3032195,-96,256,32,-41.229019,5.686454,-151.280502
3032293,0,-64,-32,-41.072453,5.490793,-150.485428
3032390,64,-96,0,-40.674629,5.206237,-149.486649
3032488,32,64,64,-40.399933,5.370953,-148.07486
3032585,0,32,-32,-40.247585,5.445435,-147.309067
3032683,32,-64,0,-39.975941,5.251633,-146.341339
3032780,-32,128,224,-39.946022,5.593708,-143.917252
3032878,0,64,-64,-39.796715,5.75642,-143.393723
3032975,64,192,32,-39.409885,6.274429,-142.250412
3033122,-128,0,96,-39.739498,6.256961,-140.702042
3033268,32,32,-32,-39.473099,6.328438,-139.996841
3033365,-64,-32,32,-39.563969,6.222257,-138.885803
3033463,-32,0,128,-39.536034,6.205054,-137.167038
3033560,0,-32,64,-39.390537,6.099705,-135.872971
3033658,-128,-32,-32,-39.715687,5.994855,-135.20639
3033755,-32,-32,-32,-39.687428,5.890501,-134.546951
3033853,-32,-64,0,-39.65937,5.698927,-133.690964
3033950,-32,0,0,-39.631512,5.683327,-132.843552
3034048,0,-32,0,-39.487873,5.580443,-132.004593
3034145,0,-64,0,-39.345161,5.390848,-131.173965
3034243,96,0,0,-38.857388,5.376178,-130.351578
3034340,64,-32,-160,-38.463707,5.173766,-130.32251
3034535,32,-32,128,-38.211254,5.073267,-128.726746
3034633,-96,64,-32,-38.417847,5.232263,-128.129852
3034730,0,64,0,-38.280834,5.390588,-127.342506
3034828,-96,-32,32,-38.486107,5.290007,-126.366859
3034925,0,0,0,-38.349564,5.275805,-125.59539
3035023,64,32,-32,-37.98745,5.347369,-125.026031
3035120,0,-32,96,-37.853249,5.247571,-123.687134
3035267,0,0,32,-37.719894,5.233576,-122.745598
3035364,0,0,64,-37.587376,5.219654,-121.619545
3035559,64,64,-64,-37.231457,5.375622,-121.272903
3035657,-64,0,32,-37.325104,5.36138,-120.355278
3035754,-32,0,0,-37.30653,5.347211,-119.636833
3035853,96,-64,-32,-36.843113,5.164405,-119.115555
3035949,-32,-96,64,-36.82629,4.89806,-118.030914
3036047,32,-32,0,-36.588028,4.800974,-117.333374
3036144,32,32,96,-36.351086,4.872405,-116.07708
3036242,0,0,-64,-36.225769,4.859635,-115.770905
3036339,32,-96,-96,-35.991207,4.595973,-115.655228
3036437,0,0,0,-35.867725,4.583965,-114.982208
3036534,0,96,-32,-35.744999,4.822197,-114.501007
3036632,-96,160,-96,-35.950615,5.226277,-114.394165
3036729,0,-32,32,-35.828205,5.129293,-113.553299
3036827,-64,0,-96,-35.92387,5.115955,-113.452759
3036924,-32,-96,0,-35.910583,4.853667,-112.806412
3037022,-32,0,-64,-35.897385,4.841084,-112.529312
3037119,0,-96,-64,-35.77663,4.580309,-112.255074
3037217,32,-32,160,-35.549236,4.485767,-110.723732
3037314,-64,-32,64,-35.644501,4.391644,-109.741173
3037412,-32,96,64,-35.632332,4.627532,-108.766228
3037509,-32,0,96,-35.620243,4.615625,-107.619652
3037607,0,64,-32,-35.502075,4.768046,-107.196869
3037704,96,-32,-96,-35.066963,4.673804,-107.134521
3037802,-64,-32,64,-35.162632,4.579976,-106.186676
3037899,-96,0,32,-35.363243,4.568279,-105.422935
3037997,64,-32,-32,-35.036274,4.475121,-105.018257
3038094,0,32,0,-34.921131,4.545114,-104.441772
3038192,-32,0,32,-34.911556,4.533579,-103.695328
